task_id,project_id,assigned_to,task_description,status_id,priority,due_date
65,39,14,Task description for Task 65,4,Low,2024-12-27
66,8,68,Task description for Task 66,4,Low,2024-12-22
67,40,93,Task description for Task 67,1,High,2024-12-22
68,8,64,Task description for Task 68,4,Low,2024-12-20
69,4,93,Task description for Task 69,4,Low,2024-12-22
70,29,50,Task description for Task 70,1,High,2024-12-21
71,16,52,Task description for Task 71,2,Low,2024-12-29
72,46,86,Task description for Task 72,4,Medium,2024-12-22
73,40,31,Task description for Task 73,4,Medium,2024-12-31
74,25,26,Task description for Task 74,1,Low,2024-12-22
75,4,59,Task description for Task 75,1,Medium,2024-12-27
76,17,21,Task description for Task 76,3,High,2024-12-29
77,13,54,Task description for Task 77,4,High,2024-12-28
78,33,17,Task description for Task 78,5,High,2024-12-30
79,4,14,Task description for Task 79,2,Medium,2024-12-29
80,5,87,Task description for Task 80,1,Medium,2024-12-29
81,8,96,Task description for Task 81,3,Medium,2024-12-26
82,49,85,Task description for Task 82,4,Medium,2024-12-26
83,29,14,Task description for Task 83,5,High,2024-12-22
84,48,10,Task description for Task 84,4,Medium,2024-12-28
85,23,7,Task description for Task 85,5,Low,2024-12-28
86,21,29,Task description for Task 86,2,Low,2024-12-29
87,48,97,Task description for Task 87,1,Medium,2024-12-26
88,40,40,Task description for Task 88,1,Medium,2024-12-28
89,31,71,Task description for Task 89,5,Low,2024-12-30
90,17,31,Task description for Task 90,1,Medium,2024-12-20
91,47,31,Task description for Task 91,3,Low,2024-12-21
92,30,59,Task description for Task 92,2,High,2024-12-23
93,9,79,Task description for Task 93,1,High,2024-12-29
94,44,28,Task description for Task 94,1,Medium,2024-12-28
95,41,53,Task description for Task 95,5,Low,2024-12-25
96,49,81,Task description for Task 96,2,High,2024-12-27
97,49,15,Task description for Task 97,2,Medium,2024-12-20
98,31,98,Task description for Task 98,5,High,2024-12-20
99,41,28,Task description for Task 99,4,Low,2024-12-31
100,8,46,Task description for Task 100,2,Medium,2024-12-25
101,8,17,Task description for Task 101,4,Low,2024-12-21
102,28,85,Task description for Task 102,3,High,2024-12-31
103,20,3,Task description for Task 103,2,Low,2024-12-25
104,41,7,Task description for Task 104,5,Low,2024-12-22
105,41,37,Task description for Task 105,3,Medium,2024-12-29
106,21,87,Task description for Task 106,2,High,2024-12-23
107,40,21,Task description for Task 107,5,Low,2024-12-29
108,35,58,Task description for Task 108,2,High,2024-12-21
109,39,92,Task description for Task 109,2,Low,2024-12-20
110,4,83,Task description for Task 110,2,Medium,2024-12-29
111,30,46,Task description for Task 111,3,Low,2024-12-22
112,14,84,Task description for Task 112,1,Low,2024-12-30
113,30,72,Task description for Task 113,5,Low,2024-12-30
114,19,53,Task description for Task 114,3,Low,2024-12-31
115,6,41,Task description for Task 115,3,High,2024-12-27
116,14,88,Task description for Task 116,4,Low,2024-12-29
117,23,77,Task description for Task 117,5,High,2024-12-30
118,5,67,Task description for Task 118,5,High,2024-12-27
119,20,20,Task description for Task 119,2,Low,2024-12-31
120,50,33,Task description for Task 120,2,Medium,2024-12-28
121,11,7,Task description for Task 121,3,Low,2024-12-21
122,17,93,Task description for Task 122,4,High,2024-12-25
123,48,6,Task description for Task 123,1,Low,2024-12-27
124,44,53,Task description for Task 124,5,High,2024-12-25
125,37,32,Task description for Task 125,4,Medium,2024-12-24
126,8,13,Task description for Task 126,3,Medium,2024-12-24
127,12,24,Task description for Task 127,5,Low,2024-12-25
128,48,39,Task description for Task 128,5,Low,2024-12-27
129,1,36,Task description for Task 129,3,High,2024-12-27
130,14,84,Task description for Task 130,1,High,2024-12-22
131,8,93,Task description for Task 131,2,Low,2024-12-26
132,44,19,Task description for Task 132,4,Medium,2024-12-31
133,45,80,Task description for Task 133,5,Low,2024-12-22
134,17,29,Task description for Task 134,5,Medium,2024-12-23
135,42,73,Task description for Task 135,5,Low,2024-12-28
136,46,95,Task description for Task 136,5,Medium,2024-12-23
137,33,80,Task description for Task 137,5,Medium,2024-12-25
138,19,8,Task description for Task 138,1,High,2024-12-28
139,48,3,Task description for Task 139,2,Low,2024-12-30
140,46,4,Task description for Task 140,2,Medium,2024-12-26
141,45,92,Task description for Task 141,3,High,2024-12-23
142,10,40,Task description for Task 142,4,Medium,2024-12-29
143,6,63,Task description for Task 143,3,Medium,2024-12-22
144,31,22,Task description for Task 144,3,Medium,2024-12-29
145,20,59,Task description for Task 145,2,High,2024-12-21
146,25,89,Task description for Task 146,1,Medium,2024-12-20
147,46,7,Task description for Task 147,1,High,2024-12-23
148,15,39,Task description for Task 148,5,Low,2024-12-26
149,31,63,Task description for Task 149,3,Low,2024-12-28
150,32,14,Task description for Task 150,2,Low,2024-12-21
151,10,6,Task description for Task 151,2,High,2024-12-22
152,26,71,Task description for Task 152,2,Low,2024-12-29
153,11,9,Task description for Task 153,2,Medium,2024-12-31
154,30,70,Task description for Task 154,5,Medium,2024-12-26
155,48,71,Task description for Task 155,3,Low,2024-12-23
156,28,71,Task description for Task 156,4,High,2024-12-29
157,41,93,Task description for Task 157,3,High,2024-12-30
158,10,55,Task description for Task 158,5,High,2024-12-24
159,32,100,Task description for Task 159,4,Low,2024-12-21
160,10,98,Task description for Task 160,5,High,2024-12-25
161,24,78,Task description for Task 161,5,Medium,2024-12-27
162,11,38,Task description for Task 162,1,Low,2024-12-25
163,48,84,Task description for Task 163,2,Medium,2024-12-24
164,24,45,Task description for Task 164,5,Low,2024-12-22
165,47,31,Task description for Task 165,1,Low,2024-12-23
166,10,90,Task description for Task 166,5,Medium,2024-12-25
167,27,59,Task description for Task 167,1,Low,2024-12-26
168,19,60,Task description for Task 168,1,Low,2024-12-26
169,12,60,Task description for Task 169,3,Low,2024-12-27
170,24,42,Task description for Task 170,3,Medium,2024-12-27
171,42,47,Task description for Task 171,1,High,2024-12-31
172,17,33,Task description for Task 172,4,Medium,2024-12-25
173,28,3,Task description for Task 173,2,Medium,2024-12-30
174,48,52,Task description for Task 174,4,Low,2024-12-27
175,5,1,Task description for Task 175,3,Low,2024-12-27
176,48,62,Task description for Task 176,1,Low,2024-12-20
177,11,41,Task description for Task 177,4,High,2024-12-21
178,6,79,Task description for Task 178,4,Low,2024-12-21
179,22,89,Task description for Task 179,2,Medium,2024-12-22
180,12,36,Task description for Task 180,1,Low,2024-12-23
181,32,28,Task description for Task 181,4,High,2024-12-24
182,17,52,Task description for Task 182,2,Medium,2024-12-28
183,5,48,Task description for Task 183,5,Low,2024-12-27
184,44,83,Task description for Task 184,3,High,2024-12-27
185,22,94,Task description for Task 185,5,High,2024-12-24
186,41,64,Task description for Task 186,3,High,2024-12-26
187,39,65,Task description for Task 187,4,Low,2024-12-22
188,33,21,Task description for Task 188,3,Medium,2024-12-26
189,10,57,Task description for Task 189,1,High,2024-12-27
190,31,39,Task description for Task 190,1,Medium,2024-12-29
191,22,10,Task description for Task 191,2,High,2024-12-20
192,4,92,Task description for Task 192,5,Low,2024-12-31
193,27,92,Task description for Task 193,3,Low,2024-12-28
194,8,88,Task description for Task 194,2,High,2024-12-28
195,22,56,Task description for Task 195,1,High,2024-12-22
196,33,25,Task description for Task 196,1,High,2024-12-25
197,23,93,Task description for Task 197,1,Low,2024-12-30
198,43,9,Task description for Task 198,5,High,2024-12-22
199,33,97,Task description for Task 199,1,Low,2024-12-30
200,32,22,Task description for Task 200,2,Medium,2024-12-27
201,12,49,Task description for Task 201,1,Low,2024-12-20
202,8,10,Task description for Task 202,5,Medium,2024-12-27
203,50,82,Task description for Task 203,1,Medium,2024-12-20
204,49,97,Task description for Task 204,2,Medium,2024-12-22
205,22,49,Task description for Task 205,4,High,2024-12-24
206,33,54,Task description for Task 206,4,Medium,2024-12-20
207,46,98,Task description for Task 207,2,Low,2024-12-26
208,7,66,Task description for Task 208,3,Low,2024-12-23
209,43,24,Task description for Task 209,5,Medium,2024-12-29
210,16,31,Task description for Task 210,3,Low,2024-12-31
211,37,46,Task description for Task 211,1,Low,2024-12-29
212,29,96,Task description for Task 212,2,Low,2024-12-21
213,26,39,Task description for Task 213,5,Medium,2024-12-25
214,21,74,Task description for Task 214,2,Low,2024-12-28
215,18,84,Task description for Task 215,3,High,2024-12-23
216,22,24,Task description for Task 216,1,High,2024-12-24
217,20,62,Task description for Task 217,3,High,2024-12-31
218,28,49,Task description for Task 218,1,Low,2024-12-24
219,22,11,Task description for Task 219,4,Medium,2024-12-28
220,40,33,Task description for Task 220,4,Low,2024-12-20
221,40,69,Task description for Task 221,1,High,2024-12-26
222,33,74,Task description for Task 222,5,Low,2024-12-26
223,38,84,Task description for Task 223,2,High,2024-12-21
224,5,72,Task description for Task 224,5,Low,2024-12-31
225,46,92,Task description for Task 225,4,Low,2024-12-24
226,25,95,Task description for Task 226,2,Low,2024-12-27
227,35,83,Task description for Task 227,2,Low,2024-12-29
228,17,44,Task description for Task 228,2,Low,2024-12-30
229,6,51,Task description for Task 229,4,High,2024-12-25
230,6,36,Task description for Task 230,4,High,2024-12-25
231,20,88,Task description for Task 231,5,Medium,2024-12-20
232,39,30,Task description for Task 232,4,High,2024-12-27
233,45,86,Task description for Task 233,2,Low,2024-12-29
234,34,60,Task description for Task 234,5,High,2024-12-30
235,2,23,Task description for Task 235,2,Low,2024-12-22
236,10,8,Task description for Task 236,1,Medium,2024-12-21
237,34,59,Task description for Task 237,3,High,2024-12-31
238,13,91,Task description for Task 238,1,Low,2024-12-26
239,5,44,Task description for Task 239,1,Low,2024-12-22
240,50,30,Task description for Task 240,5,Medium,2024-12-21
241,46,47,Task description for Task 241,1,Low,2024-12-21
242,9,85,Task description for Task 242,4,Medium,2024-12-23
243,35,96,Task description for Task 243,2,High,2024-12-25
244,25,42,Task description for Task 244,5,Low,2024-12-30
245,28,36,Task description for Task 245,2,High,2024-12-27
246,2,25,Task description for Task 246,2,High,2024-12-28
247,10,90,Task description for Task 247,1,Low,2024-12-30
248,16,47,Task description for Task 248,2,High,2024-12-30
249,40,90,Task description for Task 249,5,Medium,2024-12-22
250,45,84,Task description for Task 250,5,Low,2024-12-25
251,32,24,Task description for Task 251,2,High,2024-12-29
252,15,96,Task description for Task 252,1,Low,2024-12-24
253,46,12,Task description for Task 253,1,Low,2024-12-28
254,31,77,Task description for Task 254,1,High,2024-12-30
255,7,80,Task description for Task 255,3,Low,2024-12-29
256,22,6,Task description for Task 256,2,Low,2024-12-21
257,4,64,Task description for Task 257,3,Medium,2024-12-21
258,30,49,Task description for Task 258,2,Medium,2024-12-21
259,16,77,Task description for Task 259,4,Medium,2024-12-26
260,43,10,Task description for Task 260,3,Medium,2024-12-26
261,2,71,Task description for Task 261,5,High,2024-12-28
262,29,32,Task description for Task 262,4,High,2024-12-26
263,30,74,Task description for Task 263,1,High,2024-12-29
264,49,96,Task description for Task 264,2,Medium,2024-12-23
265,25,53,Task description for Task 265,2,High,2024-12-23
266,38,38,Task description for Task 266,4,High,2024-12-21
267,13,79,Task description for Task 267,2,High,2024-12-23
268,21,54,Task description for Task 268,5,High,2024-12-29
269,48,42,Task description for Task 269,2,High,2024-12-27
270,18,85,Task description for Task 270,5,High,2024-12-29
271,35,14,Task description for Task 271,4,Low,2024-12-20
272,29,61,Task description for Task 272,1,Medium,2024-12-22
273,41,83,Task description for Task 273,3,Low,2024-12-31
274,7,100,Task description for Task 274,3,Medium,2024-12-22
275,34,93,Task description for Task 275,4,Low,2024-12-30
276,29,97,Task description for Task 276,4,Medium,2024-12-30
277,46,88,Task description for Task 277,2,High,2024-12-22
278,21,31,Task description for Task 278,1,High,2024-12-22
279,17,19,Task description for Task 279,4,Medium,2024-12-26
280,29,84,Task description for Task 280,5,Medium,2024-12-28
281,24,86,Task description for Task 281,4,Medium,2024-12-29
282,30,69,Task description for Task 282,4,High,2024-12-24
283,31,19,Task description for Task 283,5,Medium,2024-12-21
284,1,46,Task description for Task 284,5,Medium,2024-12-30
285,42,3,Task description for Task 285,5,Low,2024-12-29
286,20,34,Task description for Task 286,2,Low,2024-12-28
287,24,53,Task description for Task 287,1,High,2024-12-20
288,29,65,Task description for Task 288,1,Medium,2024-12-28
289,49,19,Task description for Task 289,1,Low,2024-12-31
290,43,31,Task description for Task 290,5,Medium,2024-12-29
291,14,100,Task description for Task 291,2,High,2024-12-27
292,41,97,Task description for Task 292,4,Medium,2024-12-27
293,41,70,Task description for Task 293,5,Low,2024-12-26
294,5,74,Task description for Task 294,1,Medium,2024-12-30
295,7,48,Task description for Task 295,5,Low,2024-12-21
296,34,55,Task description for Task 296,1,High,2024-12-29
297,23,62,Task description for Task 297,1,High,2024-12-20
298,28,89,Task description for Task 298,5,Low,2024-12-31
299,31,53,Task description for Task 299,3,Low,2024-12-27
300,42,92,Task description for Task 300,3,Medium,2024-12-26
301,15,65,Task description for Task 301,4,Medium,2024-12-28
302,44,57,Task description for Task 302,5,Low,2024-12-30
303,39,85,Task description for Task 303,4,Low,2024-12-27
304,50,35,Task description for Task 304,5,Medium,2024-12-31
305,3,37,Task description for Task 305,2,Medium,2024-12-30
306,4,22,Task description for Task 306,3,High,2024-12-26
307,24,42,Task description for Task 307,4,Low,2024-12-29
308,38,24,Task description for Task 308,1,Medium,2024-12-30
309,2,67,Task description for Task 309,5,High,2024-12-23
310,26,85,Task description for Task 310,3,Medium,2024-12-20
311,17,39,Task description for Task 311,4,Low,2024-12-27
312,27,67,Task description for Task 312,5,Low,2024-12-30
313,18,70,Task description for Task 313,5,High,2024-12-28
314,5,88,Task description for Task 314,2,Medium,2024-12-25
315,41,89,Task description for Task 315,1,Low,2024-12-25
316,22,56,Task description for Task 316,3,Low,2024-12-24
317,17,49,Task description for Task 317,5,High,2024-12-22
318,10,14,Task description for Task 318,5,High,2024-12-23
319,12,50,Task description for Task 319,3,High,2024-12-28
320,46,89,Task description for Task 320,2,High,2024-12-25
321,49,35,Task description for Task 321,3,High,2024-12-21
322,47,5,Task description for Task 322,5,High,2024-12-23
323,3,25,Task description for Task 323,3,High,2024-12-31
324,47,80,Task description for Task 324,5,Low,2024-12-23
325,16,71,Task description for Task 325,1,Medium,2024-12-26
326,11,91,Task description for Task 326,2,Medium,2024-12-26
327,18,62,Task description for Task 327,3,Medium,2024-12-21
328,45,6,Task description for Task 328,4,Medium,2024-12-20
329,46,28,Task description for Task 329,2,Low,2024-12-31
330,46,35,Task description for Task 330,5,High,2024-12-26
331,13,4,Task description for Task 331,3,Low,2024-12-26
332,1,4,Task description for Task 332,4,High,2024-12-23
333,27,2,Task description for Task 333,5,Medium,2024-12-25
334,30,42,Task description for Task 334,1,High,2024-12-29
335,1,58,Task description for Task 335,4,Medium,2024-12-23
336,45,49,Task description for Task 336,3,High,2024-12-29
337,41,11,Task description for Task 337,1,High,2024-12-28
338,28,17,Task description for Task 338,4,Low,2024-12-23
339,45,69,Task description for Task 339,5,Medium,2024-12-26
340,41,74,Task description for Task 340,5,Medium,2024-12-20
341,30,26,Task description for Task 341,1,High,2024-12-28
342,12,13,Task description for Task 342,4,High,2024-12-31
343,19,79,Task description for Task 343,4,Medium,2024-12-25
344,45,96,Task description for Task 344,2,Medium,2024-12-26
345,38,78,Task description for Task 345,4,Medium,2024-12-24
346,43,80,Task description for Task 346,5,High,2024-12-29
347,46,99,Task description for Task 347,5,High,2024-12-22
348,30,80,Task description for Task 348,2,High,2024-12-25
349,7,84,Task description for Task 349,2,Medium,2024-12-23
350,47,86,Task description for Task 350,5,Low,2024-12-21
351,30,52,Task description for Task 351,1,High,2024-12-29
352,50,34,Task description for Task 352,4,High,2024-12-29
353,40,40,Task description for Task 353,5,High,2024-12-22
354,47,87,Task description for Task 354,4,Low,2024-12-21
355,27,52,Task description for Task 355,3,Low,2024-12-28
356,6,59,Task description for Task 356,3,Low,2024-12-25
357,33,63,Task description for Task 357,3,High,2024-12-29
358,22,88,Task description for Task 358,2,High,2024-12-21
359,23,27,Task description for Task 359,3,Medium,2024-12-24
360,47,36,Task description for Task 360,5,Low,2024-12-24
361,12,86,Task description for Task 361,3,High,2024-12-25
362,41,14,Task description for Task 362,2,Low,2024-12-30
363,4,87,Task description for Task 363,2,High,2024-12-24
364,20,35,Task description for Task 364,3,Medium,2024-12-29
365,45,73,Task description for Task 365,4,High,2024-12-26
366,9,44,Task description for Task 366,4,Medium,2024-12-27
367,16,13,Task description for Task 367,3,Medium,2024-12-24
368,11,45,Task description for Task 368,4,Medium,2024-12-21
369,18,37,Task description for Task 369,3,Medium,2024-12-30
370,29,77,Task description for Task 370,5,Low,2024-12-23
371,22,52,Task description for Task 371,3,Medium,2024-12-20
372,47,36,Task description for Task 372,3,Medium,2024-12-25
373,23,64,Task description for Task 373,1,Medium,2024-12-25
374,21,86,Task description for Task 374,5,High,2024-12-26
375,29,57,Task description for Task 375,4,Medium,2024-12-25
376,23,59,Task description for Task 376,1,High,2024-12-28
377,4,59,Task description for Task 377,5,Medium,2024-12-28
378,9,66,Task description for Task 378,2,High,2024-12-31
379,4,66,Task description for Task 379,5,Low,2024-12-31
380,21,12,Task description for Task 380,2,Low,2024-12-26
381,49,79,Task description for Task 381,2,Low,2024-12-26
382,42,14,Task description for Task 382,3,Low,2024-12-24
383,33,79,Task description for Task 383,5,Medium,2024-12-27
384,37,70,Task description for Task 384,5,High,2024-12-26
385,4,66,Task description for Task 385,4,Low,2024-12-24
386,46,18,Task description for Task 386,5,High,2024-12-22
387,31,16,Task description for Task 387,4,Medium,2024-12-22
388,39,49,Task description for Task 388,3,Low,2024-12-30
389,41,88,Task description for Task 389,5,Medium,2024-12-30
390,29,96,Task description for Task 390,2,High,2024-12-26
391,44,88,Task description for Task 391,3,Low,2024-12-24
392,46,65,Task description for Task 392,4,Low,2024-12-27
393,11,71,Task description for Task 393,5,High,2024-12-28
394,2,39,Task description for Task 394,4,Medium,2024-12-29
395,46,82,Task description for Task 395,5,Medium,2024-12-22
396,15,29,Task description for Task 396,4,Medium,2024-12-24
397,26,88,Task description for Task 397,5,Medium,2024-12-24
398,46,18,Task description for Task 398,3,Low,2024-12-26
399,22,85,Task description for Task 399,5,High,2024-12-20
400,25,25,Task description for Task 400,2,Medium,2024-12-23
401,27,47,Task description for Task 401,4,Low,2024-12-27
402,25,95,Task description for Task 402,2,Medium,2024-12-27
403,10,51,Task description for Task 403,1,High,2024-12-31
404,30,43,Task description for Task 404,3,Medium,2024-12-20
405,47,92,Task description for Task 405,3,Medium,2024-12-29
406,24,89,Task description for Task 406,1,High,2024-12-27
407,27,15,Task description for Task 407,2,Medium,2024-12-25
408,8,13,Task description for Task 408,1,Low,2024-12-22
409,34,49,Task description for Task 409,2,High,2024-12-26
410,50,28,Task description for Task 410,1,High,2024-12-27
411,46,36,Task description for Task 411,2,Low,2024-12-29
412,36,73,Task description for Task 412,2,Medium,2024-12-29
413,37,91,Task description for Task 413,4,High,2024-12-26
414,36,84,Task description for Task 414,1,Low,2024-12-31
415,17,41,Task description for Task 415,5,Low,2024-12-30
416,20,58,Task description for Task 416,2,High,2024-12-26
417,16,79,Task description for Task 417,3,High,2024-12-20
418,25,93,Task description for Task 418,3,Medium,2024-12-25
419,24,68,Task description for Task 419,2,High,2024-12-27
420,25,18,Task description for Task 420,5,High,2024-12-27
421,43,17,Task description for Task 421,3,Low,2024-12-21
422,32,22,Task description for Task 422,1,High,2024-12-26
423,26,6,Task description for Task 423,2,Medium,2024-12-23
424,49,73,Task description for Task 424,4,Low,2024-12-28
425,44,63,Task description for Task 425,2,High,2024-12-30
426,37,49,Task description for Task 426,5,Medium,2024-12-31
427,39,67,Task description for Task 427,1,Low,2024-12-31
428,45,54,Task description for Task 428,3,Low,2024-12-24
429,26,81,Task description for Task 429,3,High,2024-12-28
430,29,51,Task description for Task 430,3,Low,2024-12-26
431,24,59,Task description for Task 431,4,Medium,2024-12-29
432,6,86,Task description for Task 432,1,Low,2024-12-27
433,49,83,Task description for Task 433,4,Medium,2024-12-26
434,32,93,Task description for Task 434,4,High,2024-12-20
435,25,70,Task description for Task 435,1,High,2024-12-24
436,27,25,Task description for Task 436,2,Low,2024-12-25
437,20,72,Task description for Task 437,3,Medium,2024-12-30
438,15,92,Task description for Task 438,1,Low,2024-12-31
439,36,50,Task description for Task 439,2,Medium,2024-12-23
440,4,65,Task description for Task 440,3,Low,2024-12-27
441,48,6,Task description for Task 441,3,High,2024-12-30
442,7,79,Task description for Task 442,1,Low,2024-12-28
443,10,71,Task description for Task 443,3,Low,2024-12-28
444,34,99,Task description for Task 444,2,Medium,2024-12-27
445,32,34,Task description for Task 445,5,Low,2024-12-27
446,12,11,Task description for Task 446,3,Medium,2024-12-26
447,38,72,Task description for Task 447,5,High,2024-12-31
448,38,69,Task description for Task 448,4,High,2024-12-27
449,11,4,Task description for Task 449,5,High,2024-12-31
450,32,31,Task description for Task 450,2,Low,2024-12-23
451,30,70,Task description for Task 451,3,High,2024-12-24
452,33,95,Task description for Task 452,3,High,2024-12-22
453,27,8,Task description for Task 453,5,Medium,2024-12-27
454,49,9,Task description for Task 454,2,Low,2024-12-26
455,4,78,Task description for Task 455,1,High,2024-12-26
456,36,75,Task description for Task 456,3,Medium,2024-12-23
457,11,34,Task description for Task 457,5,Low,2024-12-26
458,8,24,Task description for Task 458,4,Medium,2024-12-30
459,28,49,Task description for Task 459,2,Medium,2024-12-22
460,7,21,Task description for Task 460,4,High,2024-12-31
461,42,84,Task description for Task 461,3,High,2024-12-28
462,43,11,Task description for Task 462,4,High,2024-12-21
463,23,81,Task description for Task 463,5,Medium,2024-12-26
464,28,19,Task description for Task 464,3,Low,2024-12-28
465,47,51,Task description for Task 465,4,Low,2024-12-23
466,50,19,Task description for Task 466,1,Low,2024-12-27
467,15,15,Task description for Task 467,4,High,2024-12-22
468,36,16,Task description for Task 468,5,Low,2024-12-24
469,42,61,Task description for Task 469,1,Low,2024-12-28
470,47,11,Task description for Task 470,5,High,2024-12-25
471,13,87,Task description for Task 471,2,Low,2024-12-28
472,24,95,Task description for Task 472,3,Medium,2024-12-20
473,15,67,Task description for Task 473,1,Medium,2024-12-22
474,36,80,Task description for Task 474,1,Medium,2024-12-23
475,24,96,Task description for Task 475,2,High,2024-12-30
476,2,17,Task description for Task 476,3,Low,2024-12-31
477,19,67,Task description for Task 477,5,High,2024-12-21
478,10,70,Task description for Task 478,1,Medium,2024-12-31
479,16,24,Task description for Task 479,3,High,2024-12-26
480,28,86,Task description for Task 480,4,Low,2024-12-30
481,19,28,Task description for Task 481,1,Medium,2024-12-23
482,3,62,Task description for Task 482,3,High,2024-12-30
483,34,3,Task description for Task 483,5,High,2024-12-24
484,42,65,Task description for Task 484,2,High,2024-12-28
485,36,74,Task description for Task 485,3,Low,2024-12-26
486,27,50,Task description for Task 486,5,High,2024-12-27
487,4,74,Task description for Task 487,5,High,2024-12-23
488,32,11,Task description for Task 488,1,Low,2024-12-30
489,39,36,Task description for Task 489,3,Medium,2024-12-21
490,42,49,Task description for Task 490,1,Low,2024-12-20
491,11,90,Task description for Task 491,3,High,2024-12-28
492,15,80,Task description for Task 492,3,Low,2024-12-28
493,44,55,Task description for Task 493,1,Medium,2024-12-31
494,23,29,Task description for Task 494,5,Medium,2024-12-29
495,42,1,Task description for Task 495,2,High,2024-12-30
496,19,84,Task description for Task 496,2,High,2024-12-29
497,7,62,Task description for Task 497,3,Low,2024-12-28
498,47,60,Task description for Task 498,3,Medium,2024-12-30
499,5,65,Task description for Task 499,1,Medium,2024-12-30
500,35,100,Task description for Task 500,4,High,2024-12-27
501,31,14,Task description for Task 501,1,Medium,2024-12-31
502,27,5,Task description for Task 502,2,Medium,2024-12-25
503,19,78,Task description for Task 503,3,Medium,2024-12-22
504,39,85,Task description for Task 504,1,High,2024-12-25
505,36,99,Task description for Task 505,3,Low,2024-12-25
506,15,82,Task description for Task 506,4,Low,2024-12-24
507,4,97,Task description for Task 507,2,Low,2024-12-21
508,19,26,Task description for Task 508,3,Medium,2024-12-21
509,10,60,Task description for Task 509,3,High,2024-12-31
510,20,29,Task description for Task 510,4,High,2024-12-24
511,21,65,Task description for Task 511,2,Low,2024-12-21
512,10,97,Task description for Task 512,5,High,2024-12-21
513,2,42,Task description for Task 513,5,High,2024-12-25
514,7,82,Task description for Task 514,3,High,2024-12-23
515,38,69,Task description for Task 515,3,Medium,2024-12-22
516,45,46,Task description for Task 516,4,Low,2024-12-28
